Volatility,Return,Sharpe Ratio,AAPL,MSFT,GOOG,AMZN,TSLA,SPY,QQQ,VTI,BND,GLD
0.12184268796003479,0.22101325268644445,1.6497769053845737,0.00581372628780935,0.0,0.0,0.0,0.0,0.3999999999999996,0.19418627371219133,7.045145716810808e-16,0.0,0.4
0.1101574725996806,0.24182402466967903,2.0136992927915287,0.04690129254046022,0.0,0.0,0.06629636496470924,0.005977081588221632,0.4,0.0,0.08082526090660913,0.0,0.4
0.13734381584646332,0.11654396239784794,0.702936363045093,0.08293666457767282,0.0,0.0,0.0,0.0,0.4,0.11706333542232847,3.0401028916493544e-16,0.0,0.4
0.12885298605838724,0.172298170944276,1.1819529807036449,4.586402280830024e-16,0.0,0.0,1.69791283501987e-15,4.110204683728831e-16,0.4,0.19999999999999757,1.202066891960658e-15,6.244554783776797e-16,0.39999999999999847
0.13012531323340365,0.2533412307560853,1.7932039889698088,0.12349269555072198,2.076247160309741e-17,4.0766001685454967e-17,0.1137247582657794,0.0,0.07382106530283673,0.2889614808806619,0.0,4.957514433689969e-17,0.4
0.10739832315833246,0.254745857450848,2.18574974494502,0.13937709010146376,2.6915711210354666e-16,2.0469737016526324e-16,0.004165372328687222,0.0,0.39999999999999913,1.92844937888261e-16,0.05684894195713791,1.5045004184321044e-16,0.39960859561271117
0.11678263413143561,0.2650248030304969,2.098127044768731,0.07487438109588151,1.7986914041534519e-16,0.0391622126167982,0.12823879756336085,2.3960868011929648e-17,0.39999999999999986,1.951563910473908e-17,0.07830574718487257,0.0,0.2794188615390868
0.1102593850119316,0.23565319475123325,1.9558715544068797,0.0,2.160512875881623e-16,0.03824254549192663,0.07161078672372787,8.464702394608257e-17,0.3999999999999995,0.0,0.09014666778434577,9.622228028705222e-17,0.4
0.14199133863856528,0.1777169049301563,1.1107501798516033,0.0839028714837001,2.723515857283587e-16,6.474855374083432e-16,0.0,1.4625887306829455e-16,0.22161459556808816,0.2944825329482117,9.011888457699513e-16,6.38378239159465e-16,0.3999999999999977
0.13774565460112626,0.1262899223373034,0.7716390229883473,0.16898262520337165,0.0,1.001802807376606e-15,1.1856834958301476e-15,1.375635716449608e-15,0.3999999999999999,0.031017374796627188,8.795048023202412e-16,8.439429710627167e-16,0.3999999999999971
0.1311662793819001,0.26997579637759755,1.9057931471073826,0.04281300093875972,1.0565550170871241e-16,0.03020940599198063,0.031693108940347436,0.0,0.1382549603358948,0.35702952379301756,2.0464316005663896e-17,8.464908461680576e-17,0.39999999999999974
